country,date,indicator,countryiso3code,value,unit,obs_status,decimal,Region
Bhutan,1975,Population density (people per sq. km of land area),BTN,7.82892793699035,,,0,South Asia
Bhutan,1974,Population density (people per sq. km of land area),BTN,7.56668022173234,,,0,South Asia
Bhutan,1973,Population density (people per sq. km of land area),BTN,7.31342165528755,,,0,South Asia
Bhutan,1972,Population density (people per sq. km of land area),BTN,7.06855296106842,,,0,South Asia
Bhutan,1971,Population density (people per sq. km of land area),BTN,6.8319885281339,,,0,South Asia
Bhutan,1970,Population density (people per sq. km of land area),BTN,6.60334310724911,,,0,South Asia
Bhutan,1969,Population density (people per sq. km of land area),BTN,6.38259529567879,,,0,South Asia
Bhutan,1968,Population density (people per sq. km of land area),BTN,6.17064400830426,,,0,South Asia
Bhutan,1967,Population density (people per sq. km of land area),BTN,5.96819553538942,,,0,South Asia
Bhutan,1966,Population density (people per sq. km of land area),BTN,5.77488603043469,,,0,South Asia
Bhutan,1965,Population density (people per sq. km of land area),BTN,5.59039445241102,,,0,South Asia
Bhutan,1964,Population density (people per sq. km of land area),BTN,5.41461378764206,,,0,South Asia
Bhutan,1963,Population density (people per sq. km of land area),BTN,5.24700896774608,,,0,South Asia
Bhutan,1962,Population density (people per sq. km of land area),BTN,5.08606039851893,,,0,South Asia
Bhutan,1961,Population density (people per sq. km of land area),BTN,4.93551355863279,,,0,South Asia
Bhutan,1960,Population density (people per sq. km of land area),BTN,,,,0,South Asia
India,2024,Population density (people per sq. km of land area),IND,,,,0,South Asia
India,2023,Population density (people per sq. km of land area),IND,,,,0,South Asia
India,2022,Population density (people per sq. km of land area),IND,479.425536881262,,,0,South Asia
India,2021,Population density (people per sq. km of land area),IND,475.652042419085,,,0,South Asia
India,2020,Population density (people per sq. km of land area),IND,471.755150192218,,,0,South Asia
India,2019,Population density (people per sq. km of land area),IND,467.185182245332,,,0,South Asia
India,2018,Population density (people per sq. km of land area),IND,462.351569862673,,,0,South Asia
India,2017,Population density (people per sq. km of land area),IND,457.30592394028,,,0,South Asia
India,2016,Population density (people per sq. km of land area),IND,452.020992940243,,,0,South Asia
India,2015,Population density (people per sq. km of land area),IND,446.666542669658,,,0,South Asia
India,2014,Population density (people per sq. km of land area),IND,441.370107863944,,,0,South Asia
India,2013,Population density (people per sq. km of land area),IND,435.838110245225,,,0,South Asia
India,2012,Population density (people per sq. km of land area),IND,430.068210238834,,,0,South Asia
India,2011,Population density (people per sq. km of land area),IND,424.199245255096,,,0,South Asia
India,2010,Population density (people per sq. km of land area),IND,418.231449722352,,,0,South Asia
India,2009,Population density (people per sq. km of land area),IND,412.191872366045,,,0,South Asia
India,2008,Population density (people per sq. km of land area),IND,406.274393496547,,,0,South Asia
India,2007,Population density (people per sq. km of land area),IND,400.470881780175,,,0,South Asia
India,2006,Population density (people per sq. km of land area),IND,394.485011048739,,,0,South Asia
India,2005,Population density (people per sq. km of land area),IND,388.36277600826,,,0,South Asia
India,2004,Population density (people per sq. km of land area),IND,382.078344471763,,,0,South Asia
India,2003,Population density (people per sq. km of land area),IND,375.624499611528,,,0,South Asia
India,2002,Population density (people per sq. km of land area),IND,369.165905979773,,,0,South Asia
India,2001,Population density (people per sq. km of land area),IND,362.539418940599,,,0,South Asia
India,2000,Population density (people per sq. km of land area),IND,355.82076254797,,,0,South Asia
India,1999,Population density (people per sq. km of land area),IND,349.195921888611,,,0,South Asia
India,1998,Population density (people per sq. km of land area),IND,342.61687951325,,,0,South Asia
India,1997,Population density (people per sq. km of land area),IND,336.047733915424,,,0,South Asia
India,1996,Population density (people per sq. km of land area),IND,329.5041547967,,,0,South Asia
India,1995,Population density (people per sq. km of land area),IND,322.986773129198,,,0,South Asia
India,1994,Population density (people per sq. km of land area),IND,316.550158920217,,,0,South Asia
India,1993,Population density (people per sq. km of land area),IND,310.144453264003,,,0,South Asia
India,1992,Population density (people per sq. km of land area),IND,303.699753463452,,,0,South Asia
India,1991,Population density (people per sq. km of land area),IND,297.299398962058,,,0,South Asia
India,1990,Population density (people per sq. km of land area),IND,290.923964159707,,,0,South Asia
India,1989,Population density (people per sq. km of land area),IND,284.556159882147,,,0,South Asia
India,1988,Population density (people per sq. km of land area),IND,278.267783088198,,,0,South Asia
India,1987,Population density (people per sq. km of land area),IND,272.075202055704,,,0,South Asia
India,1986,Population density (people per sq. km of land area),IND,265.939942620552,,,0,South Asia
India,1985,Population density (people per sq. km of land area),IND,259.871650651321,,,0,South Asia
India,1984,Population density (people per sq. km of land area),IND,253.894116756749,,,0,South Asia
India,1983,Population density (people per sq. km of land area),IND,248.007251806982,,,0,South Asia
India,1982,Population density (people per sq. km of land area),IND,242.26957342114,,,0,South Asia
India,1981,Population density (people per sq. km of land area),IND,236.680551865168,,,0,South Asia
India,1980,Population density (people per sq. km of land area),IND,231.184022884511,,,0,South Asia
India,1979,Population density (people per sq. km of land area),IND,225.735908905923,,,0,South Asia
India,1978,Population density (people per sq. km of land area),IND,220.547031639418,,,0,South Asia
India,1977,Population density (people per sq. km of land area),IND,215.526455759639,,,0,South Asia
India,1976,Population density (people per sq. km of land area),IND,210.501812194983,,,0,South Asia
India,1975,Population density (people per sq. km of land area),IND,205.607288804281,,,0,South Asia
