"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:FAS(4.0.0)","TTO.FA63N.PTADLT_NUM.A","OBS_VALUE","Trinidad and Tobago","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","AGO.FA63N.PTADLT_NUM.A","OBS_VALUE","Angola","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","5.046446747368433","7.177856143694955","6.325838827216814","10.84111563049255","",""
"IMF.STA:FAS(4.0.0)","NLD.FA63N.PTADLT_NUM.A","OBS_VALUE","Netherlands, The","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","BHS.FA63N.PTADLT_NUM.A","OBS_VALUE","Bahamas, The","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","168.8626991679477","285.9084470964048","376.1610551478896",""
"IMF.STA:FAS(4.0.0)","UGA.FA63N.PTADLT_NUM.A","OBS_VALUE","Uganda","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","662.9313638618604","720.0256847799589","819.0670606649697","902.0179568383477","973.1401380866939","1029.918793043285",""
"IMF.STA:FAS(4.0.0)","DMA.FA63N.PTADLT_NUM.A","OBS_VALUE","Dominica","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","SUR.FA63N.PTADLT_NUM.A","OBS_VALUE","Suriname","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
"IMF.STA:FAS(4.0.0)","KHM.FA63N.PTADLT_NUM.A","OBS_VALUE","Cambodia","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","60.38106322024521","212.3048509901631","284.8821993272619","182.5959758859907","368.9904206547385","551.7913126516065","879.4191901175261","915.2560994064978",""
"IMF.STA:FAS(4.0.0)","IRQ.FA63N.PTADLT_NUM.A","OBS_VALUE","Iraq","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","2.152027485350719","2.633635691432206","4.501696835538293","","3.970034319997448","","14.32536937665844","",""
"IMF.STA:FAS(4.0.0)","SDN.FA63N.PTADLT_NUM.A","OBS_VALUE","Sudan","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","28.74628648817","49.8240250997152","184.991046409564","","","","","",""
"IMF.STA:FAS(4.0.0)","PRY.FA63N.PTADLT_NUM.A","OBS_VALUE","Paraguay","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","332.020866890714","351.2816362886613","358.8999394155208","379.3056534403566","530.7754905867235","465.4945804128201","554.7865428137587","543.370502229725",""
"IMF.STA:FAS(4.0.0)","COL.FA63N.PTADLT_NUM.A","OBS_VALUE","Colombia","Number of active mobile money accounts","Per 1,000 adults","Annual","Units","","","","","","","","",""
