"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2016","2017","2018","2019","2020","2021","2022","2023"
"IMF.STA:FAS(4.0.0)","LSO.FA65.POGDP.A","OBS_VALUE","Lesotho, Kingdom of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","13.54233522165934","19.33035202823691","23.86992002098779","30.8552911856502","39.61402259941523","38.14272798516771","64.0420644295096","76.61473271058304"
"IMF.STA:FAS(4.0.0)","GRC.FA65.POGDP.A","OBS_VALUE","Greece","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","","","","","","","",""
"IMF.STA:FAS(4.0.0)","ZAF.FA65.POGDP.A","OBS_VALUE","South Africa","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","0.02582174420857415","","","","4.310365258624637E-4","0.01428737890493259","0.02583431935899358","0.1023109458269812"
"IMF.STA:FAS(4.0.0)","NER.FA65.POGDP.A","OBS_VALUE","Niger","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","3.497308851192323","3.462666211430191","2.754824151275634","2.648377772992045","2.249435305023099","4.182181859328921","2.132000339377333","2.184189374632425"
"IMF.STA:FAS(4.0.0)","MMR.FA65.POGDP.A","OBS_VALUE","Myanmar","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","1.85828121093789","2.24064427865941","0.588037066171096","3.22594094676477","","","",""
"IMF.STA:FAS(4.0.0)","AFG.FA65.POGDP.A","OBS_VALUE","Afghanistan, Islamic Republic of","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","0.750237866268342","1.11874340479694","1.23515241696883","0.174877957588014","","","",""
"IMF.STA:FAS(4.0.0)","TCD.FA65.POGDP.A","OBS_VALUE","Chad","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","0.04769385026737968","1.342823017820583","","","0.002967103095645136","","0.03583896173822776",""
"IMF.STA:FAS(4.0.0)","CMR.FA65.XDC.A","OBS_VALUE","Cameroon","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","870011.0","3447833.0","6469562.596867","9271416.0","1.254402961173E7","","",""
"IMF.STA:FAS(4.0.0)","JOR.FA65.XDC.A","OBS_VALUE","Jordan","Value of mobile money transactions (during the reference year)","Domestic currency","Annual","Millions","0.198","6.460061","75.902824","161.0","1082.62","2112.00215075602","1037.0","3108.38396"
"IMF.STA:FAS(4.0.0)","GHA.FA65.POGDP.A","OBS_VALUE","Ghana","Value of mobile money transactions (during the reference year)","Percent of GDP","Annual","Units","35.75174509964283","59.30214845753329","72.33193354954646","86.76405143675939","143.9390836961367","179.55579222554","174.5461048875522","228.1129848042983"
